"","health","cb_num","N"
"306","Poor",111,236
"307","Good",104,2071
"308","Poor",104,387
"309","Excellent",110,1347
"310","Good",110,2125
"311","Poor",110,267
"312","Excellent",108,3265
"313","Good",108,4118
"314","Poor",108,1039
"315","Dead",107,88
"316","Excellent",104,1082
"317","Dead",104,49
"318","Excellent",112,1028
"319","Good",0,16159
"320","Dead",108,96
"321","Good",106,3250
"322","Excellent",106,990
"323","Poor",106,492
"324","Good",105,907
"325","Excellent",105,657
"326","Poor",0,2094
"327","Dead",110,51
"328","Dead",101,24
"329","Poor",105,200
"330","Dead",105,29
"331","Excellent",0,5288
"332","Dead",112,71
"333","Dead",106,46
"334","Dead",102,31
"335","Dead",109,58
"336","Dead",0,486
"337","Good",164,8
"338","Dead",164,2
"339","Excellent",164,2
"340","Poor",164,3
"341","Good",208,4739
"342","Poor",211,753
"343","Good",211,6370
"344","Poor",208,565
"345","Excellent",411,9149
"346","Excellent",410,3544
"347","Good",411,15957
"348","Poor",413,3413
"349","Poor",411,2201
"350","Good",413,23529
"351","Excellent",211,1561
"352","Excellent",210,1441
"353","Good",210,6492
"354","Dead",210,115
"355","Excellent",207,804
"356","Good",207,2266
"357","Poor",207,491
"358","Poor",210,714
"359","Good",202,1464
"360","Poor",202,287
"361","Good",204,1867
"362","Dead",202,73
"363","Dead",211,118
"364","Good",212,6236
"365","Excellent",212,1890
"366","Poor",212,863
"367","Good",209,3576
"368","Good",205,1682
"369","Poor",205,453
"370","Good",206,1876
"371","Poor",206,362
"372","Dead",207,65
"373","Excellent",205,154
"374","Dead",205,109
"375","Excellent",204,400
"376","Dead",209,87
"377","Poor",209,521
"378","Excellent",209,1369
"379","Dead",206,85
"380","Excellent",201,297
"381","Good",201,1132
"382","Dead",201,47
"383","Poor",201,194
"384","Dead",212,146
"385","Excellent",206,346
"386","Excellent",208,1303
"387","Good",203,1400
"388","Poor",203,142
"389","Excellent",203,400
"390","Dead",203,69
"391","Dead",208,94
"392","Good",226,23
"393","Dead",226,3
"394","Poor",226,2
"395","Excellent",202,318
"396","Poor",204,339
"397","Dead",204,89
"398","Good",227,8
"399","Excellent",226,2
"400","Good",315,8981
"401","Good",313,2395
"402","Good",317,4846
"403","Excellent",314,3678
"404","Good",314,5656
"405","Poor",309,590
"406","Excellent",309,1202
"407","Dead",308,63
"408","Good",308,2247
"409","Excellent",413,6877
"410","Good",409,7579
"411","Good",414,5991
"412","Good",407,18092
"413","Poor",407,2134
"414","Dead",411,280
"415","Dead",407,356
"416","Excellent",407,8820
"417","Good",412,14426
"418","Good",408,12441
"419","Excellent",406,3310
"420","Good",406,6010
"421","Dead",408,253
"422","Poor",406,913
"423","Excellent",404,2065
"424","Dead",404,135
"425","Good",404,3833
"426","Poor",404,797
"427","Good",401,6784
"428","Poor",401,960
"429","Good",402,4371
"430","Excellent",401,2166
"431","Dead",402,127
"432","Excellent",402,2886
"433","Poor",402,729
"434","Good",405,12995
"435","Dead",406,108
"436","Poor",405,1907
"437","Excellent",408,4521
"438","Poor",408,1864
"439","Dead",401,146
"440","Dead",405,334
"441","Poor",409,986
"442","Excellent",409,1891
"443","Excellent",405,3346
"444","Excellent",412,3605
"445","Poor",412,1988
"446","Good",410,10441
"447","Poor",410,1208
"448","Dead",410,228
"449","Dead",413,483
"450","Dead",409,175
"451","Good",403,5636
"452","Poor",403,1014
"453","Poor",414,712
"454","Excellent",414,1385
"455","Good",305,5543
"456","Poor",315,1015
"457","Good",309,3266
"458","Poor",314,929
"459","Excellent",315,2130
"460","Dead",309,59
"461","Dead",314,102
"462","Poor",308,266
"463","Poor",355,24
"464","Good",355,153
"465","Dead",355,11
"466","Excellent",355,10
"467","Excellent",312,3526
"468","Excellent",308,1391
"469","Dead",312,95
"470","Poor",313,308
"471","Good",310,6369
"472","Good",307,3378
"473","Dead",310,93
"474","Excellent",310,3136
"475","Dead",303,65
"476","Good",303,4409
"477","Excellent",303,1037
"478","Poor",303,348
"479","Dead",307,65
"480","Excellent",307,1385
"481","Good",306,6050
"482","Excellent",306,2551
"483","Good",311,4875
"484","Excellent",311,2118
"485","Poor",311,575
"486","Poor",306,553
"487","Dead",306,71
"488","Poor",310,662
"489","Excellent",317,1381
"490","Poor",317,623
"491","Excellent",302,2746
"492","Good",302,4010
"493","Poor",302,713
"494","Excellent",301,1828
"495","Dead",317,93
"496","Good",301,6200
"497","Good",316,2232
"498","Poor",305,674
"499","Excellent",316,488
"500","Poor",307,368
"501","Poor",316,173
"502","Dead",318,167
"503","Dead",301,111
"504","Good",304,3082
"505","Excellent",304,438
"506","Dead",302,65
"507","Poor",301,652
"508","Dead",311,53
"509","Excellent",313,707
"510","Dead",313,26
"511","Dead",305,123
"512","Dead",315,94
"513","Excellent",305,375
"514","Poor",304,258
"515","Dead",304,83
"516","Dead",316,47
"517","Excellent",403,2936
"518","Dead",403,161
"519","Excellent",481,14
"520","Good",481,6
"521","Dead",482,3
"522","Good",482,39
"523","Poor",482,8
"524","Excellent",482,9
"525","Good",480,14
"526","Dead",414,144
"527","Poor",480,1
"528","Dead",412,317
"529","Poor",481,2
"530","Excellent",503,9702
"531","Good",503,38058
"532","Dead",503,616
"533","Excellent",502,4953
"534","Good",502,17313
"535","Poor",502,965
"536","Poor",503,2135
"537","Good",501,13345
"538","Excellent",501,6250
"539","Poor",501,1405
"540","Dead",501,275
"541","Dead",502,248
"542","Dead",595,5
"543","Good",595,74
"544","Excellent",595,66
"545","Poor",595,9
"546","Unknown",106,846
"547","Good",101,1393
"548","Excellent",101,393
"549","Poor",101,113
"550","Poor",0,195
"551","Good",0,1426
"552","Excellent",0,599
"553","Good",102,2497
"554","Dead",101,42
"555","Excellent",102,1208
"556","Stump",102,35
"557","Dead",102,104
"558","Poor",102,397
"559","Planting Space",102,81
"560","Unknown",0,79
"561","Unknown",102,100
"562","Planting Space",101,28
"563","Excellent",103,694
"564","Unknown",103,286
"565","Good",103,3158
"566","Planting Space",103,291
"567","Poor",103,352
"568","Dead",103,99
"569","Unknown",101,101
"570","Good",106,3674
"571","Good",105,2413
"572","Excellent",106,1454
"573","Poor",106,366
"574","Stump",103,53
"575","Planting Space",0,114
"576","Excellent",112,2268
"577","Good",109,4621
"578","Dead",0,72
"579","Poor",105,294
"580","Stump",0,43
"581","Dead",105,174
"582","Excellent",105,661
"583","Good",104,3523
"584","Excellent",104,1138
"585","Stump",105,37
"586","Planting Space",105,35
"587","Good",108,7414
"588","Excellent",108,4520
"589","Poor",108,1056
"590","Dead",106,155
"591","Stump",108,90
"592","Dead",108,335
"593","Stump",106,48
